( having * having | select creation , name , budget_in_billions from department <n>
( having * having , born_state having | select count ( * ) , semester , year from section group by semester , year <n>
( having * having , born_state having order having | select t1 . name from student as t1 join advisor as t2 on t1 . id = t2 . s_id group by t2 . s_id having count ( * ) > = value <n>
( having * having , born_state having | select count ( * ) , semester , year from section group by semester , year <n>
( having * having , born_state having | select count ( * ) , semester , year from section group by semester , year <n>
( having * having name born_state having value by having | select dept_name , building from department order by budget desc limit value <n>
( having * having name born_state having value by having | select name from instructor order by salary desc limit value <n>
( having * having name born_state having by having | select name from instructor order by salary asc limit value <n>
( having * having ) having ( having * having ) having | select name from instructor where id not in ( select id from teaches where semester = value ) <n>
( having * having ) having ( having * having | select name from instructor where id not in ( select id from teaches ) <n>
( having * having ) having ( having * having | select name from instructor where id not in ( select id from teaches ) <n>
( having * having ) having ( having * having | select name from instructor where id not in ( select id from teaches ) <n>
( having * having ) having ( having * having | select name from instructor where id not in ( select id from teaches ) <n>
( having * having ) having | select t2 . name from course as t1 join department as t2 on t1 . course_id = t2 . course_id where building = value <n>
( having * having ) having | select t2 . name from course as t1 join department as t2 on t1 . course_id = t2 . course_id where building = value <n>
( having * having , born_state having name born_state having value by having | select year from section group by year order by count ( * ) desc limit value <n>
( having * having ) having | select dept_name from instructor where name like value <n>
( having * having name born_state having value by having | select name from instructor order by salary desc limit value <n>
( having * having name born_state having value by having | select dept_name , building from department order by budget desc limit value <n>
( having * having ) having ( having * having | select name from instructor where id not in ( select id from teaches ) <n>
( having * having ) having ( having * having | select name from instructor where id not in ( select id from teaches ) <n>
( having * having ) having ( having * having | select name from instructor where id not in ( select id from teaches ) <n>
( having * having name born_state having | select name from instructor order by salary asc <n>
( having * having ) having | select name from instructor where name like value <n>
( having * having ) having ( having * having | select name from instructor where id not in ( select id from teaches ) <n>
( having * having ) having | select name from instructor where name like value <n>
( having * having ) having head having | select title from course where dept_name = value or dept_name = value <n>
( having * having ) having ! ( having * having ) having | select title from course where dept_name = value intersect select title from course where dept_name = value <n>
( having * having ) having ( having * having | select name from instructor where id not in ( select id from teaches ) <n>
( having * having ) having ( having * having ) having | select name from instructor where id not in ( select id from teaches where semester = value ) <n>
( having * having , born_state having order having | select t1 . name from student as t1 join advisor as t2 on t1 . id = t2 . s_id group by t2 . s_id having count ( * ) > = value <n>
( having * having name born_state having value by having | select headquarters from company order by sales_in_billion desc limit value <n>
( having * having ) having head having | select name from company where sales_in_billion > value or sales_in_billion > value <n>
( having * having name born_state having value by having | select headquarters from company order by sales_in_billion desc limit value <n>
( having * having ) having | select name from company where headquarters ! = value <n>
( having * having ) having ( having * having | select name from people where people_id not in ( select people_id from employment ) <n>
( having * having ) having | select claim_status_description from claims_processing_stages where claim_status_name = value <n>
( having * having , born_state having order having | select policy_type_code from policies group by policy_type_code having count ( * ) > = value <n>
( having * having | select count ( * ) from claims_processing_stages <n>
( having * having ) having ( having * having | select date_claim_made , date_claim_settled from claims where amount_claimed > ( select avg ( amount_claimed ) from claims ) <n>
( having * having = ( having * having | select customer_details from customers except select t2 . customer_details from policies as t1 join customers as t2 on t1 . customer_id = t2 . customer_id <n>
( having * having | select count ( * ) from claims_processing_stages <n>
( having * having ) having | select t2 . customer_details from policies as t1 join customers as t2 on t1 . customer_id = t2 . customer_id where t1 . customer_name = value <n>
( having * having ) having head having | select t2 . customer_details from policies as t1 join customers as t2 on t1 . customer_id = t2 . customer_id where t1 . policy_type_code = value or t1 . policy_type_code = value <n>
( having * having | select date_claim_made , date_claim_settled from claims <n>
( having * having , born_state having name born_state having value by having | select t2 . claim_status_name from claims_processing as t1 join claims_processing_stages as t2 on t1 . claim_stage_id = t2 . claim_stage_id group by t1 . claim_stage_id order by count ( * ) desc limit value <n>
( having group having * having | select count ( distinct claim_outcome_code ) from claims_processing <n>
( having * having name born_state having value by having | select claim_id from claims order by date_claim_made desc limit value <n>
( having * having | select count ( * ) from financial_transactions <n>
( having * having ) having | select t2 . customer_first_name , t2 . customer_last_name from accounts as t1 join customers as t2 on t1 . customer_id = t2 . customer_id where t1 . account_name = value <n>
( having * having ) having | select t2 . customer_first_name , t2 . customer_last_name from accounts as t1 join customers as t2 on t1 . customer_id = t2 . customer_id where t1 . account_name = value <n>
( having * having | select count ( * ) from financial_transactions <n>
( having * having = ( having * having | select customer_id from customers except select customer_id from accounts <n>
( having * having , born_state having | select account_id , count ( * ) from financial_transactions group by account_id <n>
( having * having | select account_id , customer_id , account_name from accounts <n>
( having * having | select count ( * ) from financial_transactions <n>
( having * having , born_state having | select account_id , count ( * ) from financial_transactions group by account_id <n>
( having * having , born_state having | select account_id , count ( * ) from financial_transactions group by account_id <n>
( having * having | select avg ( transaction_amount ) , sum ( transaction_amount ) from financial_transactions <n>
( having * having = ( having * having | select customer_id from customers except select customer_id from accounts <n>
( having * having , born_state having | select account_id , count ( * ) from financial_transactions group by account_id <n>
( having * having , born_state having order having | select t2 . customer_first_name , t1 . customer_id from accounts as t1 join customers as t2 on t1 . customer_id = t2 . customer_id group by t1 . customer_id having count ( * ) > = value <n>
( having * having | select account_id , customer_id , account_name from accounts <n>
( having * having , born_state having | select account_id , count ( * ) from financial_transactions group by account_id <n>
( having * having | select count ( * ) from financial_transactions <n>
( having * having | select account_id , customer_id , account_name from accounts <n>
( having * having , born_state having order having | select t2 . customer_first_name , t1 . customer_id from accounts as t1 join customers as t2 on t1 . customer_id = t2 . customer_id group by t1 . customer_id having count ( * ) > = value <n>
( having * having name born_state having | select customer_id , customer_name from customers order by customer_id asc <n>
( having * having , born_state having | select account_id , count ( * ) from financial_transactions group by account_id <n>
( having * having , born_state having | select account_id , count ( * ) from financial_transactions group by account_id <n>
( having * having , born_state having | select account_id , count ( * ) from financial_transactions group by account_id <n>
( having * having , born_state having | select account_id , count ( * ) from financial_transactions group by account_id <n>
( having * having ) having | select count ( * ) from wedding where year = value <n>
( having * having ) having from having | select t2 . name from wedding as t1 join people as t2 on t1 . male_id = t2 . people_id where t1 . year = value and t2 . is_male = value <n>
( having * having ) having | select count ( * ) from wedding where year = value <n>
( having * having ) having ( having * having | select name from people where people_id not in ( select people_id from employment ) <n>
( having * having , born_state having order having | select headquarters from company group by headquarters having count ( * ) > = value <n>
( having * having ) having | select name from company where headquarters ! = value <n>
( having * having | select count ( * ) from exhibition <n>
( having * having | select count ( * ) from exhibition <n>
( having * having ) having ( having * having | select name from artist where artist_id not in ( select artist_id from exhibition ) <n>
( having * having ) having | select avg ( age ) from artist where country = value <n>
( having * having ) having | select count ( * ) from exhibition where year = value <n>
( having * having ) having | select t2 . theme from exhibition_record as t1 join exhibition as t2 on t1 . exhibition_id = t2 . exhibition_id where t1 . year = value <n>
( having * having , born_state having name born_state having value by having | select country from artist group by country order by count ( * ) desc limit value <n>
( having * having ) having ( having * having | select name from artist where artist_id not in ( select artist_id from exhibition ) <n>
( having * having ) having | select avg ( age ) from artist where country = value <n>
( having * having name born_state having | select name from artist order by year_join asc <n>
( having * having ) having ! ( having * having ) having | select t2 . theme from exhibition_record as t1 join exhibition as t2 on t1 . exhibition_id = t2 . exhibition_id where t1 . attendance < value intersect select t2 . theme from exhibition_record as t1 join exhibition as t2 on t1 . exhibition_id = t2 . exhibition_id where t1 . attendance < value intersect select t2 . theme from exhibition as t1 join artist as t2 on t1 . artist_id = t2 . artist_id where t1 . attendance > value <n>
( having * having ) having head having | select count ( * ) from exhibition_record as t1 join exhibition as t2 on t1 . exhibition_id = t2 . exhibition_id where t1 . attendance > value or t2 . ticket_price > value <n>
( having * having ) having | select t1 . title from item as t1 join review as t2 on t1 . i_id = t2 . i_id where t2 . rating > value <n>
( having * having | select avg ( rank ) from review <n>
( having group having * having | select count ( distinct u_id ) from review <n>
( having * having ) having ( having * having | select name from useracct where u_id not in ( select u_id from review ) <n>
( having * having ) having ( having * having | select name from useracct where u_id not in ( select u_id from review ) <n>
( having * having , born_state having name born_state having value by having | select t1 . name from useracct as t1 join trust as t2 on t1 . u_id = t2 . source_u_id group by t2 . source_u_id order by count ( * ) desc limit value <n>
( having * having , born_state having | select t2 . name , count ( * ) from review as t1 join review as t2 on t1 . u_id = t2 . u_id group by t1 . u_id <n>
( having * having | select t1 . title , t2 . type from item as t1 join review as t2 on t1 . i_id = t2 . i_id <n>
( having * having = ( having * having | select name from useracct except select t1 . name from useracct as t1 join trust as t2 on t1 . u_id = t2 . u_id <n>
( having * having | select count ( * ) from club <n>
( having * having ) having head having | select player_name from player where residence > value or votes < value <n>
( having * having , born_state having name born_state having value by having | select residence from player group by residence order by count ( * ) desc limit value <n>
( having * having name born_state having | select player_name from player order by votes asc <n>
( having * having ) having ! ( having * having ) having | select t3 . player_name from player_coach as t1 join coach as t2 on t1 . coach_id = t2 . coach_id join player as t3 on t1 . player_id = t3 . player_id where t2 . country = value intersect select t3 . player_name from player_coach as t1 join coach as t2 on t1 . coach_id = t2 . coach_id join player as t3 on t1 . player_id = t3 . player_id where t2 . occupation = value <n>
( having * having | select count ( * ) from gymnast <n>
( having * having name born_state having value | select total_points from gymnast order by total_points desc <n>
( having * having | select avg ( age ) from people <n>
( having * having | select t2 . name from gymnast as t1 join people as t2 on t1 . gymnast_id = t2 . people_id <n>
( having * having = ( having * having ) having | select hometown from people except select t1 . hometown from people as t1 join gymnast as t2 on t1 . gymnast_id = t2 . people_id where t2 . hometown = value <n>
( having * having name born_state having | select t2 . name from gymnast as t1 join people as t2 on t1 . gymnast_id = t2 . people_id order by t2 . age asc limit value <n>
( having * having | select avg ( age ) from people <n>
( having * having ) having | select t2 . hometown from gymnast as t1 join people as t2 on t1 . gymnast_id = t2 . people_id where t1 . total_points > value <n>
( having * having , born_state having name born_state having value by having | select t2 . hometown from gymnast as t1 join people as t2 on t1 . gymnast_id = t2 . people_id group by t2 . hometown order by count ( * ) desc limit value <n>
( having * having name born_state having name born_state having | select t2 . name , t2 . age , t3 . hometown from gymnast as t1 join people as t2 on t1 . gymnast_id = t2 . people_id order by t2 . age asc limit value <n>
( having * having = ( having * having | select hometown from people except select t1 . hometown from people as t1 join gymnast as t2 on t1 . gymnast_id = t2 . people_id <n>
( having group having * having | select count ( distinct hometown ) from people <n>
( having * having ) having | select t2 . custid from accounts as t1 join checking as t2 on t1 . custid = t2 . custid join savings as t3 on t1 . custid = t3 . custid where t3 . balance > t2 . balance <n>
( having * having | select count ( * ) from accounts <n>
( having * having | select avg ( balance ) from accounts <n>
( having * having ) having ( having * having | select t2 . custid , t2 . balance , t3 . balance from accounts as t1 join checking as t2 on t1 . custid = t2 . custid where t1 . custid = ( select max ( balance ) from custid ) <n>
( having * having ) having | select t2 . custid from accounts as t1 join checking as t2 on t1 . custid = t2 . custid join savings as t3 on t1 . custid = t3 . custid where t3 . balance > t2 . balance <n>
( having * having ) having ( having * having | select avg ( balance ) from savings where custid not in ( select custid from accounts ) <n>
( having * having name born_state having | select t2 . balance , t3 . balance , t1 . name from accounts as t1 join checking as t2 on t1 . custid = t2 . custid join savings as t3 on t1 . custid = t3 . custid order by t2 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3 . balance + t3
( having * having name born_state having by having | select t1 . name from accounts as t1 join checking as t2 on t1 . custid = t2 . custid join savings as t3 on t1 . custid = t3 . custid order by t2 . balance + t3 . balance limit value <n>
( having * having name born_state having by having | select t1 . name from accounts as t1 join checking as t2 on t1 . custid = t2 . custid join savings as t3 on t1 . custid = t3 . custid order by t2 . balance + t3 . balance limit value <n>
( having * having | select count ( * ) from accounts <n>
( having * having ) having ( having * having | select t1 . custid , t1 . name from accounts as t1 join checking as t2 on t1 . custid = t2 . custid where t2 . balance < ( select max ( balance ) from checking ) <n>
( having * having name born_state having value by having | select t2 . balance from accounts as t1 join savings as t2 on t1 . custid = t2 . custid join savings as t3 on t1 . custid = t3 . custid order by t3 . balance desc limit value <n>
( having * having | select t1 . custid , t1 . custid from accounts as t1 join checking as t2 on t1 . custid = t2 . custid <n>
( having * having name born_state having value by having | select t1 . name from accounts as t1 join checking as t2 on t1 . custid = t2 . custid order by t2 . balance desc limit value <n>
( having * having ) having ( having * having | select t1 . custid , t1 . name from accounts as t1 join checking as t2 on t1 . custid = t2 . custid where t2 . balance < ( select max ( balance ) from checking ) <n>
( having * having , born_state having order having | select t1 . id , t1 . name from browser as t1 join accelerator_compatible_browser as t2 on t2 . browser_id = t1 . id group by t1 . id having count ( * ) > = value <n>
( having * having | select avg ( age ) from browser <n>
( having * having , born_state having order having | select t1 . id , t1 . name from browser as t1 join accelerator_compatible_browser as t2 on t2 . browser_id = t1 . id group by t1 . id having count ( * ) > = value <n>
( having group having * having | select count ( distinct industry ) from web_client_accelerator <n>
( having * having ) having ! ( having * having ) having | select t1 . name from browser as t1 join accelerator_compatible_browser as t2 on t2 . accelerator_id = t1 . id join browser as t3 on t2 . browser_id = t3 . id where t3 . name = value intersect select t1 . name from browser as t1 join accelerator_compatible_browser as t2 on t2 . accelerator_id = t1 . id join browser as t3 on t2 . browser_id = t3 . id where t3 . name = value <n>
( having * having name born_state having value by having | select name from web_client_accelerator order by id desc limit value <n>
( having * having name born_state having value by having | select name from wrestler order by days_held desc limit value <n>
( having * having , born_state having name born_state having value by having | select reign from wrestler group by reign order by count ( * ) desc limit value <n>
( having * having | select name , location from wrestler <n>
( having * having ) having | select name from wrestler where location ! = value <n>
( having * having name born_state having value by having | select name from wrestler order by days_held desc limit value <n>
( having * having ) having | select elimination_move from elimination where team = value <n>
( having * having , born_state having order having | select location from wrestler group by location having count ( * ) > value <n>
( having * having | select reign , location from wrestler <n>
( having * having , born_state having name born_state having value by having | select reign from wrestler group by reign order by count ( * ) desc limit value <n>
( having * having ) having ( having * having | select name from wrestler where wrestler_id not in ( select wrestler_id from elimination ) <n>
( having * having ) having ! ( having * having ) having | select location from wrestler where eliminated_by = value intersect select location from wrestler where eliminated_by = value <n>
( having * having ) having head having | select time from elimination where eliminated_by = value or eliminated_by = value <n>
( having * having name born_state having | select donator_name from endowment order by open_year asc <n>
( having * having ) having ( having * having | select school_name from school where school_id not in ( select school_id from endowment ) <n>
( having * having ) having | select count ( * ) from budget where budgeted > value <n>
( having * having ) having head having | select t2 . name from endowment as t1 join school as t2 on t1 . school_id = t2 . school_id where t1 . donator_name = value or t1 . donator_name = value <n>
( having * having name born_state having value by having | select school_colors from school order by enrollment desc limit value <n>
( having * having | select school_name , location from school <n>
( having * having ) having head having | select t2 . name from endowment as t1 join school as t2 on t1 . school_id = t2 . school_id where t1 . donator_name = value or t1 . donator_name = value <n>
( having * having ) having name born_state having | select t2 . school_name from endowment as t1 join school as t2 on t1 . school_id = t2 . school_id where t1 . school_name = value order by t2 . school_name asc <n>
( having * having | select avg ( height_feet ) from building <n>
( having * having ) having from having | select name from building where height_feet > = value and floors > = value <n>
( having * having ) having from having | select count ( * ) from institution as t1 join institution as t2 on t1 . institution_id = t2 . institution_id join building as t3 on t3 . building_id = t1 . building_id where t3 . floors > value and t3 . type = value <n>
( having * having ) having | select t2 . name from institution as t1 join protein as t2 on t1 . institution_id = t2 . institution_id join building as t3 on t3 . building_id = t1 . building_id where t3 . floors > value <n>
( having * having ) having head having | select count ( * ) from building where height_feet > value or floors > value <n>
( having * having ) having ( having * having | select count ( * ) from building where height_feet > ( select avg ( height_feet ) from building ) <n>
( having * having | select count ( * ) from film <n>
( having * having ) having | select location from cinema where capacity > value <n>
( having * having name born_state having value by having | select location from cinema order by capacity desc limit value <n>
( having * having , born_state having order having | select location from cinema group by location having count ( * ) > = value <n>
( having * having , born_state having | select location , count ( * ) from cinema group by location <n>
( having * having , born_state having | select location , count ( * ) from cinema group by location <n>
( having * having | select location , location from cinema <n>
( having * having , born_state having order having | select location from cinema group by location having count ( * ) > = value <n>
( having * having ) having | select count ( * ) from cinema where capacity > value <n>
( having * having name born_state having value by having | select product_name from products_for_hire order by product_price desc limit value <n>
( having * having ) having | select t2 . product_description from products_booked as t1 join products_for_hire as t2 on t1 . product_id = t2 . product_id where t1 . booked_amount = value <n>
( having * having name born_state having | select product_name from products_for_hire order by product_price asc <n>
( having * having ) having | select t2 . product_description from products_booked as t1 join products_for_hire as t2 on t1 . product_id = t2 . product_id where t1 . booked_amount = value <n>
( having * having ) having head having | select t1 . coupon_amount from discount_coupons as t1 join customers as t2 on t1 . coupon_id = t2 . coupon_id where t2 . coupon_amount = value or t2 . good_or_bad_customer = value <n>
( having * having name born_state having | select name from phone order by carrier asc <n>
( having * having name born_state having value by having | select carrier from phone order by carrier desc limit value <n>
( having * having ) having ! ( having * having ) having | select carrier from phone where carrier = value intersect select carrier from phone where carrier = value <n>
( having * having ) having | select carrier from phone where carrier = value <n>
( having * having | select count ( * ) from station_company <n>
( having * having name born_state having value | select company from company order by market_value desc <n>
( having * having name born_state having value | select company from company order by market_value desc <n>
( having * having | select main_industry , location from company <n>
( having * having , born_state having | select main_industry , sum ( market_value ) from company group by main_industry <n>
( having * having name born_state having value by having | select headquarters from company order by market_value desc limit value <n>
( having * having name born_state having | select location from gas_station order by open_year asc <n>
( having * having ) having from having | select company , main_industry from company where headquarters = value and location = value <n>
( having * having ) having ! ( having * having ) having | select headquarters from company where main_industry = value intersect select headquarters from company where main_industry = value <n>
( having * having , born_state having name born_state having value by having | select main_industry , count ( * ) from company group by main_industry order by count ( * ) desc limit value <n>
( having * having | select company , main_industry from company <n>
( having * having ) having | select company , main_industry from company where headquarters ! = value <n>
( having * having | select company , main_industry from company <n>
( having * having name born_state having value | select company from company order by market_value desc <n>
( having * having | select count ( * ) from party_events <n>
( having * having | select count ( * ) from party_events <n>
( having * having name born_state having | select minister from party order by party_name asc <n>
( having * having = ( having * having | select member_name from member except select t1 . member_name from member as t1 join party_events as t2 on t1 . member_id = t2 . member_in_charge_id <n>
( having * having name born_state having value | select minister , party_name from party order by took_office desc <n>
( having * having | select t1 . party_name , t2 . region_name from party as t1 join region as t2 on t1 . region_id = t2 . region_id <n>
( having * having , born_state having name born_state having value by having | select t2 . party_name from member as t1 join party as t2 on t1 . party_id = t2 . party_id group by t1 . party_id order by count ( * ) desc limit value <n>
( having * having = ( having * having | select member_name from member except select t1 . member_name from member as t1 join party_events as t2 on t1 . member_id = t2 . member_in_charge_id <n>
( having * having ) having | select t2 . party_name from member as t1 join party as t2 on t1 . party_id = t2 . party_id where t1 . party_name = value <n>
( having * having | select count ( * ) from party_events <n>
( having * having = ( having * having | select member_name from member except select t1 . member_name from member as t1 join party_events as t2 on t1 . member_id = t2 . member_in_charge_id <n>
( having * having , born_state having order having | select t2 . party_name from party_events as t1 join party as t2 on t1 . party_id = t2 . party_id group by t1 . party_id having count ( * ) > = value <n>
( having * having , born_state having order having | select t2 . party_name from party_events as t1 join party as t2 on t1 . party_id = t2 . party_id group by t1 . party_id having count ( * ) > = value <n>
( having * having | select count ( * ) from aircraft <n>
( having * having ) having | select t2 . fleet_series from pilot_record as t1 join aircraft as t2 on t1 . aircraft_id = t2 . aircraft_id join pilot as t3 on t1 . pilot_id = t3 . pilot_id where t3 . position = value <n>
( having * having , born_state having | select t2 . pilot_name , count ( * ) from pilot_record as t1 join pilot as t2 on t1 . pilot_id = t2 . pilot_id group by t2 . pilot_name <n>
( having * having name born_state having | select pilot_name from pilot order by rank asc <n>
( having * having , born_state having order having | select nationality from pilot group by nationality having count ( * ) > = value <n>
( having * having ) having | select receipt_date from documents where document_id = value <n>
( having * having ) having | select receipt_date from documents where document_id = value <n>
( having * having | select count ( * ) from documents <n>
( having * having , born_state having | select role_code , count ( * ) from employees group by role_code <n>
( having * having , born_state having name born_state having value by having | select ref_shipping_agents.shipping_agent_name , count ( documents.document_id ) from ref_shipping_agents join documents on documents.shipping_agent_code = ref_shipping_agents.shipping_agent_code group by ref_shipping_agents.shipping_agent_code order by count ( documents.document_id ) desc limit value <n>
( having * having ) having | select count ( * ) from documents where document_status_code = value <n>
( having * having ) having | select receipt_date from documents where document_id = value <n>
( having * having ) having | select receipt_date from documents where document_id = value <n>
( having * having , born_state having order having | select document_type_code from documents group by document_type_code having count ( * ) > = value <n>
( having * having , born_state having name born_state having value by having | select ref_shipping_agents.shipping_agent_name , count ( documents.document_id ) from ref_shipping_agents join documents on documents.shipping_agent_code = ref_shipping_agents.shipping_agent_code group by ref_shipping_agents.shipping_agent_code order by count ( documents.document_id ) desc limit value <n>
( having * having ) having | select count ( * ) from course where credits > value <n>
( having * having ) having | select count ( * ) from course where credits > value <n>
( having * having , born_state having order having | select t1 . participant_id , t1 . participant_type_code , count ( * ) from participants as t1 join participants_in_events as t2 on t1 . participant_id = t2 . participant_id group by t1 . participant_id having count ( * ) > = value <n>
( having * having name born_state having by having | select service_id , event_details from events order by credit_score limit value <n>
( having * having , born_state having name born_state having value by having | select service_id from events group by event_id order by count ( * ) desc limit value <n>
( having * having = ( having * having ) having | select participant_id from participants except select participant_id from participants_in_events where events = value <n>
( having * having name born_state having value by having | select t1 . driverid , t1 . forename , t1 . surname from drivers as t1 join laptimes as t2 on t1 . driverid = t2 . driverid order by t2 . milliseconds desc limit value <n>
( having * having name born_state having value by having | select t1 . driverid , t1 . forename , t1 . surname from drivers as t1 join laptimes as t2 on t1 . driverid = t2 . driverid order by t2 . milliseconds desc limit value <n>
( having * having ) having from having | select t1 . name from constructors as t1 join constructorstandings as t2 on t1 . constructorid = t2 . constructorid where t1 . nationality = value and t2 . points > value <n>
( having * having ) having | select forename , surname from drivers where nationality = value <n>
( having * having name born_state having by having | select t1 . forename , t1 . surname from drivers as t1 join laptimes as t2 on t1 . driverid = t2 . driverid order by t2 . milliseconds limit value <n>
( having * having ) having from having | select t1 . name from constructors as t1 join constructorstandings as t2 on t1 . constructorid = t2 . constructorid where t1 . nationality = value and t2 . points > value <n>
( having * having = ( having * having ) having | select forename , surname from drivers except select t3 . forename , t3 . surname from races as t1 join results as t2 on t1 . raceid = t2 . raceid join drivers as t3 on t2 . driverid = t3 . driverid where t1 . name = value <n>
( having * having ) having from having | select t1 . name from constructors as t1 join constructorstandings as t2 on t1 . constructorid = t2 . constructorid where t1 . nationality = value and t2 . points > value <n>
( having * having ) having ! ( having * having ) having | select t2 . driverid , t3 . forename from races as t1 join results as t2 on t1 . raceid = t2 . raceid join drivers as t3 on t2 . driverid = t3 . driverid where t1 . name = value intersect select t2 . driverid , t3 . forename from races as t1 join results as t2 on t1 . raceid = t2 . raceid join drivers as t3 on t2 . driverid = t3 . driverid where t1 . name = value <n>
( having * having ) having from having | select t1 . name from constructors as t1 join constructorstandings as t2 on t1 . constructorid = t2 . constructorid where t1 . nationality = value and t2 . points > value <n>
( having * having ) having from having | select t1 . name from constructors as t1 join constructorstandings as t2 on t1 . constructorid = t2 . constructorid where t1 . nationality = value and t2 . points > value <n>
( having * having name born_state having by having | select t1 . forename , t1 . surname from drivers as t1 join laptimes as t2 on t1 . driverid = t2 . driverid order by t2 . milliseconds limit value <n>
( having * having ) having from having | select t1 . name from constructors as t1 join constructorstandings as t2 on t1 . constructorid = t2 . constructorid where t1 . nationality = value and t2 . points > value <n>
( having * having ) having from having | select t1 . name from constructors as t1 join constructorstandings as t2 on t1 . constructorid = t2 . constructorid where t1 . nationality = value and t2 . points > value <n>
( having * having name born_state having by having | select t1 . forename , t1 . surname from drivers as t1 join laptimes as t2 on t1 . driverid = t2 . driverid order by t2 . milliseconds limit value <n>
( having * having ) having from having | select t1 . name from constructors as t1 join constructorstandings as t2 on t1 . constructorid = t2 . constructorid where t1 . nationality = value and t2 . points > value <n>
( having * having ) having head having | select circuitid , location from circuits where country = value or country = value <n>
( having * having , born_state having order having | select t1 . driverid , t1 . forename , count ( * ) from drivers as t1 join results as t2 on t1 . driverid = t2 . driverid join races as t3 on t2 . raceid = t3 . raceid group by t1 . driverid having count ( * ) > = value <n>
( having * having ) having head having | select circuitid , location from circuits where country = value or country = value <n>
( having * having ) having head having | select circuitid , location from circuits where country = value or country = value <n>
( having * having ) having | select avg ( t2 . fastestlapspeed ) from races as t1 join results as t2 on t1 . raceid = t2 . raceid where t1 . year = value <n>
( having * having ) having name born_state having value by having | select name from races where raceid ! = value order by duration desc limit value <n>
( having * having ) having , born_state having name born_state having value by having | select t1 . driverid , t1 . forename , t1 . surname from drivers as t1 join laptimes as t2 on t1 . driverid = t2 . driverid join races as t3 on t2 . raceid = t3 . raceid where t3 . year > value group by t1 . driverid order by count ( * ) desc limit value <n>
( having * having , born_state having order having | select t1 . driverid , count ( * ) from drivers as t1 join results as t2 on t1 . driverid = t2 . driverid join races as t3 on t2 . raceid = t3 . raceid group by t1 . driverid having count ( * ) > = value <n>
( having * having | select count ( * ) from technician <n>
( having * having name born_state having | select name from technician order by name asc <n>
( having * having ) having | select t3 . name from repair_assignment as t1 join machine as t2 on t1 . machine_id = t2 . machine_id join technician as t3 on t1 . technician_id = t3 . technician_id where t2 . value_points > value <n>
( having * having | select t3 . name , t2 . machine_series from repair_assignment as t1 join machine as t2 on t1 . machine_id = t2 . machine_id join technician as t3 on t1 . technician_id = t3 . technician_id <n>
( having * having , born_state having | select team , count ( * ) from technician group by team <n>
( having * having , born_state having order having | select team from technician group by team having count ( * ) > = value <n>
( having * having name born_state having | select name from technician order by name asc <n>
( having * having ) having | select t3 . name from repair_assignment as t1 join machine as t2 on t1 . machine_id = t2 . machine_id join technician as t3 on t1 . technician_id = t3 . technician_id where t2 . value_points > value <n>
( having * having ) having ( having * having | select name from technician where technician_id not in ( select technician_id from repair_assignment ) <n>
( having * having | select count ( * ) from entrepreneur <n>
( having * having name born_state having name born_state having value | select company , investor from entrepreneur order by money_requested desc limit value <n>
( having * having | select avg ( money_requested ) from entrepreneur <n>
( having * having | select name , investor from entrepreneur <n>
( having * having = ( having * having ) having | select investor from entrepreneur except select investor from entrepreneur where money_requested > value <n>
( having * having name born_state having value by having | select t2 . name from entrepreneur as t1 join people as t2 on t1 . people_id = t2 . people_id order by t1 . money_requested desc limit value <n>
( having * having ) having head having | select t2 . date_of_birth from entrepreneur as t1 join people as t2 on t1 . people_id = t2 . people_id where t1 . investor = value or t1 . investor = value <n>
( having * having name born_state having name born_state having value | select company , investor from entrepreneur order by money_requested desc limit value <n>
( having * having , born_state having name born_state having value by having | select investor from entrepreneur group by investor order by count ( * ) desc limit value <n>
( having * having name born_state having value by having | select t2 . name from entrepreneur as t1 join people as t2 on t1 . people_id = t2 . people_id order by t1 . money_requested desc limit value <n>
( having * having = ( having * having | select name from people except select t2 . name from entrepreneur as t1 join people as t2 on t1 . people_id = t2 . people_id <n>
( having * having | select count ( * ) from entrepreneur <n>
( having * having | select count ( * ) from perpetrator <n>
( having * having | select avg ( age ) from people <n>
( having * having | select name , location from people <n>
( having * having ) having head having | select name from people where height > value or height < value <n>
( having * having name born_state having value by having | select country from perpetrator order by height desc limit value <n>
( having * having ) having ( having * having | select name from people where people_id not in ( select people_id from perpetrator ) <n>
( having * having name born_state having value by having | select country from perpetrator order by height desc limit value <n>
( having * having ) having | select t2 . faculty from campuses as t1 join faculty as t2 on t1 . id = t2 . campus where t1 . campus = value <n>
( having * having ) having | select campus from campuses where county = value <n>
( having * having ) having from having | select campus from campuses where county = value and county = value <n>
( having * having ) having from having | select campus from campuses where county = value and county = value <n>
( having * having ) having from having | select campus from campuses where county = value and county = value <n>
( having * having ) having ( having * having | select count ( * ) from csu_fees where campusfee > ( select avg ( campusfee ) from csu_fees ) <n>
( having * having name born_state having value by having | select faculty from faculty order by faculty desc limit value <n>
( having * having ) having name born_state having value by having | select campus from campuses where year > = value order by campus desc limit value <n>
( having * having ) having | select avg ( campusfee ) from csu_fees where year = value <n>
( having * having ) having from having | select campus from campuses where county = value and county = value <n>
